Date,Open,High,Low,Close,Adj Close,Volume,Class
12/27/2018,47.610001,50.099998,46.389999,49.849998,47.317493,17773600,Train
1/3/2019,49.27,52.77,47.330002,51.990002,49.348778,25251200,Train
1/10/2019,51.84,53.130001,51.27,52.73,50.051182,18827500,Train
1/17/2019,52.599998,55.02,52.560001,54.27,51.512947,19063800,Train
1/24/2019,54.470001,57.889999,54.310001,57.43,54.512413,21204900,Train
1/31/2019,57.990002,58.779999,57.139999,58.310001,55.347706,15544600,Train
2/7/2019,57.540001,58.009998,55.830002,57.049999,54.151711,15238800,Train
2/14/2019,56.849998,58.959999,56.369999,58.849998,55.860268,12999000,Train
2/21/2019,58.57,59.240002,57.389999,57.68,54.74971,14678400,Train
2/28/2019,57.57,58.68,56.119999,56.150002,53.754139,18094200,Train
3/7/2019,55.580002,56.82,54.529999,56.09,53.696701,18854500,Train
3/14/2019,56.130001,57.689999,55.779999,56.529999,54.117928,20128000,Train
3/21/2019,56.23,57.330002,50.459999,50.66,48.498394,36578600,Train
3/28/2019,50.27,53.669998,49.91,53.189999,50.920441,24966900,Train
4/4/2019,53.240002,53.360001,51.77,52.27,50.0397,16058300,Train
4/11/2019,52.41,55.34,52.18,54.540001,52.212833,19438400,Train
4/18/2019,54.650002,54.709999,53.040001,53.73,51.437401,11981900,Train
4/25/2019,53.529999,56.040001,53.369999,55.82,53.438221,20058900,Train
5/2/2019,55.310001,55.369999,53.209999,54.02,51.715031,22641400,Train
5/9/2019,53.330002,54.389999,52.330002,53.790001,51.494843,17875000,Train
5/16/2019,53.650002,54.18,52.169998,52.630001,50.384338,14109000,Train
5/23/2019,51.669998,52.110001,50.720001,51.599998,49.398285,11247600,Train
5/30/2019,51.669998,52.5,50.5,50.889999,49.18586,17941900,Train
6/6/2019,50.470001,53.860001,50.290001,53.389999,51.602139,15569800,Train
6/13/2019,52.93,53.34,51.970001,52.84,51.07056,14456200,Train
6/20/2019,47.200001,49.080002,45,45.380001,43.860371,56314800,Train
6/27/2019,45.209999,47.09,44.759998,46.18,44.633579,24183600,Train
7/4/2019,46.669998,46.970001,45.259998,45.509998,43.986012,16942100,Train
7/11/2019,45.650002,47.080002,45.259998,45.639999,44.111664,18670600,Train
7/18/2019,45.650002,47.139999,44.790001,47.119999,45.542103,17855100,Train
7/25/2019,46.970001,47.610001,46.419998,47.23,45.648418,19020200,Train
8/1/2019,47.09,47.459999,44.580002,45.419998,43.899029,21409000,Train
8/8/2019,45.619999,46.709999,44.369999,44.709999,43.212803,19039100,Train
8/15/2019,44.790001,46.049999,43.970001,45.950001,44.411282,14260500,Train
8/22/2019,45.68,45.790001,42.419998,43.400002,41.946674,16830600,Train
8/29/2019,43.860001,44.459999,42.919998,43.889999,42.886932,12194100,Train
9/5/2019,44.25,49.93,44.25,49.709999,48.573925,25954500,Train
9/12/2019,49.599998,50.869999,48.060001,48.84,47.723808,21148700,Train
9/19/2019,48.889999,48.950001,46.889999,48.060001,46.961636,18468700,Train
9/26/2019,45.5,45.73,41.43,41.439999,40.492924,38055700,Train
10/3/2019,41.259998,41.389999,39.919998,40.529999,39.603725,25807300,Train
10/10/2019,40.82,42.889999,40.75,42.389999,41.421215,19975200,Train
10/17/2019,42.400002,44.080002,42.150002,44,42.994419,24193100,Train
10/24/2019,44.049999,44.860001,42.959999,43.209999,42.222473,17233200,Train
10/31/2019,43.130001,45.32,42.459999,44.369999,43.355961,20526500,Train
11/7/2019,44.889999,45.34,43.869999,44.060001,43.053051,13637200,Train
11/14/2019,44.16,45.080002,43.509998,43.669998,42.671959,11903500,Train
11/21/2019,42.900002,45.299999,42.470001,45.220001,44.186543,18846300,Train
11/28/2019,45.220001,45.360001,43.27,43.880001,43.373772,11026900,Train
12/5/2019,44.400002,45.91,43.869999,45.790001,45.261738,16577300,Train
12/12/2019,45.880001,48.060001,45.759998,46.580002,46.042625,26650600,Train
12/19/2019,46.689999,51.619999,46.57,50.939999,50.352322,28452500,Train
12/26/2019,51,51.740002,50.759998,51.02,50.4314,7879000,Train
12/27/2019,,,,,,,Test
12/28/2019,,,,,,,Test
12/29/2019,,,,,,,Test
12/30/2019,,,,,,,Test
12/31/2019,,,,,,,Test
1/1/2020,,,,,,,Test
1/2/2020,,,,,,,Test
1/3/2020,,,,,,,Test
1/4/2020,,,,,,,Test
1/5/2020,,,,,,,Test
1/6/2020,,,,,,,Test
1/7/2020,,,,,,,Test
1/8/2020,,,,,,,Test
1/9/2020,,,,,,,Test
1/10/2020,,,,,,,Test
1/11/2020,,,,,,,Test
1/12/2020,,,,,,,Test
1/13/2020,,,,,,,Test
1/14/2020,,,,,,,Test
1/15/2020,,,,,,,Test
1/16/2020,,,,,,,Test
1/17/2020,,,,,,,Test
1/18/2020,,,,,,,Test
1/19/2020,,,,,,,Test
1/20/2020,,,,,,,Test
1/21/2020,,,,,,,Test
1/22/2020,,,,,,,Test
1/23/2020,,,,,,,Test
1/24/2020,,,,,,,Test
1/25/2020,,,,,,,Test
1/26/2020,,,,,,,Test
1/27/2020,,,,,,,Test
1/28/2020,,,,,,,Test
1/29/2020,,,,,,,Test
1/30/2020,,,,,,,Test
1/31/2020,,,,,,,Test
2/1/2020,,,,,,,Test
2/2/2020,,,,,,,Test
2/3/2020,,,,,,,Test
2/4/2020,,,,,,,Test
2/5/2020,,,,,,,Test
2/6/2020,,,,,,,Test
2/7/2020,,,,,,,Test
